postcode,locality,state
4702,ALSACE,QLD
2477,ALSTONVALE,NSW
2477,ALSTONVILLE,NSW
4109,ALTANDI,QLD
4702,ALTON DOWNS,QLD
5733,ALTON DOWNS STATION,SA
3018,ALTONA,VIC
5351,ALTONA,SA
3025,ALTONA EAST,VIC
3025,ALTONA GATE,VIC
3028,ALTONA MEADOWS,VIC
3025,ALTONA NORTH,VIC
2460,ALUMY CREEK,NSW
4807,ALVA,QLD
3249,ALVIE,VIC
885,ALYANGULA,NT
4570,AMAMOOR,QLD
4570,AMAMOOR CREEK,QLD
2866,AMAROO,NSW
2914,AMAROO,ACT
4829,AMAROO,QLD
872,AMATA,NT
6632,AMBANIA,WA
2560,AMBARVALE,NSW
4871,AMBER,QLD
6280,AMBERGATE,WA
4306,AMBERLEY,QLD
7310,AMBLESIDE,TAS
4695,AMBROSE,QLD
4462,AMBY,QLD
6338,AMELUP,WA
5222,AMERICAN BEACH,SA
5221,AMERICAN RIVER,SA
3371,AMHERST,VIC
4352,AMIENS,QLD
,,
4183,AMITY,QLD
4183,AMITY POINT,QLD
2800,AMMERDOWN,NSW
872,AMOONGUNA,NT
,,
3825,AMOR,VIC
4380,AMOSFIELD,NSW
3377,AMPHITHEATRE,VIC
,,
872,AMPILATWATJA,NT
5431,AMYTON,SA
2648,ANABRANCH NORTH,NSW
2648,ANABRANCH SOUTH,NSW
,,
3221,ANAKIE,VIC
4702,ANAKIE,QLD
4702,ANAKIE SIDING,QLD
5464,ANAMA,SA
2320,ANAMBAH,NSW
872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,NT
872,ANATYE,NT
3715,ANCONA,VIC
5722,ANDAMOOKA,SA
5722,ANDAMOOKA STATION,SA
4740,ANDERGROVE,QLD
4570,ANDERLEIGH,QLD
3995,ANDERSON,VIC
2631,ANDO,NSW
7120,ANDOVER,TAS
5454,ANDREWS,SA
5114,ANDREWS FARM,SA
4800,ANDROMACHE,QLD
4355,ANDURAMBA,QLD
2621,ANEMBO,NSW
5255,ANGAS PLAINS,SA
5238,ANGAS VALLEY,SA
5353,ANGASTON,SA
4455,ANGELLALA,QLD
6642,ANGELO RIVER,WA
5732,ANGEPENA,SA
3393,ANGIP,VIC
5010,ANGLE PARK,SA
5117,ANGLE VALE,SA
2550,ANGLEDALE,NSW
2832,ANGLEDOOL,NSW
2834,ANGLEDOOL,NSW
4216,ANGLERS PARADISE,QLD
2629,ANGLERS REACH,NSW
3898,ANGLERS REST,VIC
3230,ANGLESEA,VIC
5730,ANGORIGINA,SA
2464,ANGOURIE,NSW
822,ANGURUGU,NT
2765,ANGUS,NSW
2845,ANGUS PLACE,NSW
822,ANINDILYAKWA,NT
6167,ANKETELL,WA
872,ANMATJERE,NT
2316,ANNA BAY,NSW
5723,ANNA CREEK,SA
5356,ANNADALE,SA
2038,ANNANDALE,NSW
4814,ANNANDALE,QLD
2156,ANNANGROVE,NSW
4103,ANNERLEY,QLD
4103,ANNERLEY DC,QLD
822,ANNIE RIVER,NT
6280,ANNIEBROOK,WA
3549,ANNUELLO,VIC
7216,ANSONS BAY,TAS
7264,ANSONS BAY,TAS
4070,ANSTEAD,QLD
5222,ANTECHAMBER BAY,SA
872,ANTEWENEGERRDE,NT
4310,ANTHONY,QLD
4825,ANTHONYS LAGOON,QLD
4650,ANTIGUA,QLD
7120,ANTILL PONDS,TAS
6714,ANTONYMYRE,WA
3414,ANTWERP,VIC
200,ANU,ACT
812,ANULA,NT
5237,APAMURRA,SA
5413,APOINGA,SA
3233,APOLLO BAY,VIC
7150,APOLLO BAY,TAS
5480,APPILA,SA
2560,APPIN,NSW
3579,APPIN,VIC
3677,APPIN PARK,VIC
3579,APPIN SOUTH,VIC
4660,APPLE TREE CREEK,QLD
2850,APPLE TREE FLAT,NSW
2340,APPLEBY,NSW
6153,APPLECROSS,WA
,,
6153,APPLECROSS NORTH,WA
4378,APPLETHORPE,QLD
2330,APPLETREE FLAT,NSW
7190,APSLAWN,TAS
2820,APSLEY,NSW
3319,APSLEY,VIC
7030,APSLEY,TAS
2630,ARABLE,NSW
2431,ARAKOON,NSW
870,ARALUEN,NT
2622,ARALUEN,NSW
4570,ARALUEN,QLD
2622,ARALUEN NORTH,NSW
4726,ARAMAC,QLD
4620,ARAMARA,QLD
4054,ARANA HILLS,QLD
4625,ARANBANGA,QLD
2614,ARANDA,ACT
3409,ARAPILES,VIC
3377,ARARAT,VIC
3377,ARARAT EAST,VIC
2714,ARATULA,NSW
4309,ARATULA,QLD
3951,ARAWATA,VIC
4892,ARBOUIN,QLD
3858,ARBUCKLE,VIC
2159,ARCADIA,NSW
3631,ARCADIA,VIC
4819,ARCADIA,QLD
4819,ARCADIA BAY,QLD
